district_id,district_short,state,job_title,population,percent_aa,percent_latino,percent_obama,primary_election_date,general_election_date,next_filing_date,election_result,notes
CA - Del Norte,Del Norte,CA,District Attorney,27212,3.50,19.00,43.20,,2018-11-06,2018-01-01,https://docs.google.com/viewer?a=v&pid=sites&srcid=Y28uZGVsLW5vcnRlLmNhLnVzfGVsZWN0fGd4OjI4NTI1M2JkZjU0NmI5YWQ,Filing deadline in March.
CA - El Dorado,El Dorado,CA,District Attorney,183087,1.00,12.70,39.60,,2018-11-06,2018-01-01,http://elections.edcgov.us/results.fwx?election_id=95,Filing deadline in March.
CA - Fresno,Fresno,CA,District Attorney,965974,5.90,51.90,49.90,,2018-11-06,2018-01-01,http://www.co.fresno.ca.us/DepartmentPage.aspx?id=58163,Filing deadline in March.
CA - Glenn,Glenn,CA,District Attorney,27955,1.20,40.40,35.80,,2018-11-06,2018-01-01,http://www.countyofglenn.net/govt/departments/elections/Statewide_Special_Election_Results.aspx,Filing deadline in March.
CA - Humboldt,Humboldt,CA,District Attorney,134809,1.40,10.80,60.00,,2018-11-06,2018-01-01,http://www.humboldtgov.org/DocumentCenter/View/5344,Filing deadline in March.
CA - Imperial,Imperial,CA,District Attorney,179091,3.50,82.30,65.20,,2018-11-06,2018-01-01,http://www.co.imperial.ca.us/regvoters/index.asp?fileinc=res_prev,Filing deadline in March.
CA - Inyo,Inyo,CA,District Attorney,18410,1.00,20.90,42.60,,2018-11-06,2018-01-01,https://drive.google.com/file/d/0B-ZjQkriwApdRjB4OWNfeF9jdEU/edit,Filing deadline in March.
CA - Kern,Kern,CA,District Attorney,874589,6.30,51.50,40.40,,2018-11-06,2018-01-01,http://elections.co.kern.ca.us/elections/SOVC/SOVC_June_3_2014_full.pdf,Filing deadline in March.
CA - Kings,Kings,CA,District Attorney,150269,7.30,53.20,41.30,,2018-11-06,2018-01-01,http://www.countyofkings.com/home/showdocument?id=7075,Filing deadline in March.
CA - Lake,Lake,CA,District Attorney,64184,2.10,19.10,56.30,,2018-11-06,2018-01-01,http://publicapps.lakecountyca.gov/elections/results/result26.htm#c4103,Filing deadline in March.
CA - Lassen,Lassen,CA,District Attorney,31749,8.80,18.50,28.60,,2018-11-06,2018-01-01,http://www.lassencounty.org/govt/dept/county_clerk/registrar/documents/GEMSSOVCREPORT_June2014.pdf,Filing deadline in March.
CA - Los Angeles,Los Angeles,CA,District Attorney,10116705,9.20,48.40,69.70,2016-06-07,2016-11-08,2016-03-11,http://rrcc.co.la.ca.us/elect/12110012/rr0012pg.html-ssi,
CA - Madera,Madera,CA,District Attorney,154548,4.30,56.10,40.20,,2018-11-06,2018-01-01,http://www.sierrastar.com/2014/11/05/70793/varney-and-linn-win-big.html,Filing deadline in March.
CA - Marin,Marin,CA,District Attorney,252409,2.90,16.00,74.30,,2018-11-06,2018-01-01,http://www.marincounty.org/depts/rv/election-info/past-elections/page-data/tabs-collection/2014/june/results,Filing deadline in March.
CA - Mariposa,Mariposa,CA,District Attorney,17682,1.10,10.30,38.90,,2018-11-06,2018-01-01,http://www.mariposacounty.org/index.aspx?NID=132,Filing deadline in March.
CA - Mendocino,Mendocino,CA,District Attorney,87869,1.00,24.10,66.20,,2018-11-06,2018-01-01,http://www.co.mendocino.ca.us/acr/pastElections.htm,Filing deadline in March.
CA - Merced,Merced,CA,District Attorney,266353,4.20,57.50,53.20,2018-01-01,2018-11-06,2018-01-01,http://thevalleycitizen.com/merced-gang-numbers-frighten-senior-citizens/,
CA - Modoc,Modoc,CA,District Attorney,9023,1.20,14.80,27.90,,2018-11-06,2018-01-01,http://www.heraldandnews.com/news/election-results-roll-in-around-northern-california/article_54d9c7f6-e87c-11e3-b9cc-001a4bcf887a.html,Filing deadline in March.
CA - Mono,Mono,CA,District Attorney,13997,0.80,27.90,52.80,,2018-11-06,2018-01-01,appointed in 2012,Filing deadline in March.
CA - Monterey,Monterey,CA,District Attorney,431344,3.50,57.40,67.10,,2018-11-06,2018-01-01,http://www.thecalifornian.com/story/news/2014/06/03/election-results/9942987/,Filing deadline in March.
CA - Napa,Napa,CA,District Attorney,141667,2.40,33.70,63.00,,2018-11-06,2018-01-01,http://www.countyofnapa.org/ElectionResults/20141104/FinalCertifiedResults.htm,Filing deadline in March.
CA - Nevada,Nevada,CA,District Attorney,98893,0.60,9.20,47.70,,2018-11-06,2018-01-01,http://www.mynevadacounty.com/nc/elections/Pages/Historical-Election-Results-2014.aspx,Filing deadline in March.
CA - Orange,Orange,CA,District Attorney,3145515,2.20,34.30,45.60,,2018-11-06,2018-01-01,http://www.smartvoter.org/2014/06/03/ca/or/race/4014/,Filing deadline in March.
CA - Placer,Placer,CA,District Attorney,371694,1.70,13.50,39.00,,2018-11-06,2018-01-01,http://placerelections.com/uploads/documents/06032014/06032014_can_watch.pdf,Filing deadline in March.
CA - Plumas,Plumas,CA,District Attorney,18606,1.20,8.40,40.10,,2018-11-06,2018-01-01,http://www.plumascounty.us/index.aspx?nid=147,Filing deadline in March.
CA - Riverside,Riverside,CA,District Attorney,2329271,7.00,47.40,48.80,,2018-11-06,2018-01-01,http://www.voteinfo.net/Elections/20140603/eresults/Election%20Result.htm,Filing deadline in March.
CA - Sacramento,Sacramento,CA,District Attorney,1482026,10.90,22.50,58.10,,2018-11-06,2018-01-01,http://sacresults.e-cers.com/resultsSW.aspx?type=CTY&map=MPRC&eid=1022,Filing deadline in March.
CA - San Benito,San Benito,CA,District Attorney,58267,1.30,58.30,59.20,,2018-11-06,2018-01-01,http://sbcvote.us/june-3-2014-primary/,Filing deadline in March.
CA - San Bernardino,San Bernardino,CA,District Attorney,2112619,9.50,51.70,51.60,,2018-11-06,2018-01-01,http://www.sbcounty.gov/rov/elections/results/20140603/default.html,Filing deadline in March.
