,"(Counties, if a District)",Population/Census 2014,Percent Pop AA,Percent Pop Hispanic,Obama Share by Vote (2012),Title,Name,First Year in office,Last Election Year,Percent Vote Last Election,Party Affiliation,Race,Gender,status of reelection,Republican candidates,Rep Race,Rep Gender ,Democratic candidates,Dem Race,Dem Gender,NP Candidate,NP Race,NP Gender,Category,Next Election,Past election result,,Special notes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,"filing deadline November 6th, 2015 for March 2016 primary",,,,"six year terms, last general election 2010",,,,,,,,,,,,,,,,,,,,,,,,Democrat Candidates: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-demparty-candidates_2015-12-18.pdf,,,,,,,,,,
,,allocation of counties to districts according to: http://www.alabamaprosecutor.com/DAList.aspx,,,,,,,,,,,,,,,,,,,,,,,,certified election results from November 2010,,,,,Republican candidates for 2016: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-repparty-candidates_2015-12-18_amended.pdf,,,,,,,,,
Santa Cruz,,46695,0.9,82.8,68.2,County Attorney,George Silva,,2012,U,D,H,M,,,,,,,,,,,A,2016,http://results.enr.clarityelections.com/AZ/La_Paz/42058/125115/Web01/en/summary.html,,,,,,,,,,,,,,
Yavapai,,218844,0.9,14.2,33.7,County Attorney,Sheila Polk,2001,2012,U,R,C,F,running,,,,,,,,,,N,2016,http://www.yavapai.us/electionsvr/elections-and-results/2012-elections/november-6-2012-general-election/,,,,,,,,,,,,,,
Yuma,,203247,2.7,61.7,42.9,County Attorney,Jon Smith,,2012,U,D,C,M,,,,,,,,,,,A,2016,http://www.yumacountyaz.gov/departments-and-services/election-services/election-results,,,,,,,,,,,,,,
                                                                                                                                                                               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,(all 28 positions were up in 2014 and serve 4 year terms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1st Judicial District,"Cross, Lee, Monroe, Phillips, St. Francis, and Woodruff",88408,45.99,2.7,53.9,Prosecuting Attorney,"Fletcher Long, Jr. ",1992,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,http://www.arktimes.com/arkansas/prosecutors-have-all-the-power/Content?oid=3452595,,,,,,,,,,,,
2nd Judicial District ,"Clay, Craighead, Crittenden, Greene, Mississippi and Poinsett ",279359,20.9,3.52,39.2,Prosecuting Attorney,Scott Ellington,2010,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,http://www.arkansasonline.com/2014filings/,,,,,,,,,,,,
3rd Judicial District," Jackson, Lawrence, Randolph, Sharp",68942,5.15,2.06,25.3,Prosecuting Attorney,Henry Boyce,2003,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
4th Judicial District,Washington and Madison,236532,3.29,15.48,39.4,Prosecuting Attorney,Matt Durrett,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
5th Judicial District,"Pope, Johnson, Franklin",107011,2.55,8.74,27.5,Prosecuting Attorney,David Gibbons,1997,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
6th Judicial District,"Perry, Pulaski",402947,35.14,5.92,54.1,Prosecuting Attorney,Larry Jegley,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
7th Judicial District,"Grant, Hot Spring",51512,8.5,3.05,29.9,Prosecuting Attorney,Teresa Howell,,2014,U,NP,C,F,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
8th Judicial District North,"Hempstead, Nevada",31050,30.07,9.99,36.7,Prosecuting Attorney,Christi McQueen,,2014,U,NP,C,F,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
8th Judicial District South,"Lafayette, Miller",50539,26.79,2.95,31.2,Prosecuting Attorney,Stephanie Black,2015,2014,U,NP,C,F,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
9th Judicial District East,Clark,22576,24,4.4,45.3,Prosecuting Attorney,Blake Batson,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
9th Judicial District West,"Howard, Little River, Pike, Sevier",54482,11.86,15.23,27.9,Prosecuting Attorney,Bryan Chesshir,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
10th Judicial District,"Ashley, Bradley, Chicot, Desha, Drew",74162,34.56,5.98,44.6,Prosecuting Attorney,Thomas Deen,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
11th Judicial District East,Arkansas,18594,24.5,3,37.8,Prosecuting Attorney,Robert Dittrich,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
11th Judicial District West,"Jefferson, Lincoln",86267,51.42,2.18,60.7,Prosecuting Attorney,S. Kyle Hunter,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
12th Judicial Distrist,Sebastian,126776,6.8,13.4,30.2,Prosecuting Attorney,Daniel Shue,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
13th Judicial District,"Calhoun, Cleveland, Columbia, Dallas, Ouachita, Union",110394,33.6,2.93,37.9,Prosecuting Attorney,David F. Butler,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
14th Judicial District," Baxter, Boone, Marion, Newton",102324,0.39,2.14,26.3,Prosecuting Attorney,David Ethridge,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
