,GEO_display-label
155222,"garvin county, oklahoma"
155294,"grady county, oklahoma"
155366,"grant county, oklahoma"
155438,"greer county, oklahoma"
155510,"harmon county, oklahoma"
155582,"harper county, oklahoma"
155654,"haskell county, oklahoma"
155726,"hughes county, oklahoma"
155798,"jackson county, oklahoma"
155870,"jefferson county, oklahoma"
155942,"johnston county, oklahoma"
156014,"kay county, oklahoma"
156086,"kingfisher county, oklahoma"
156158,"kiowa county, oklahoma"
156230,"latimer county, oklahoma"
156302,"le flore county, oklahoma"
156374,"lincoln county, oklahoma"
156446,"logan county, oklahoma"
156518,"love county, oklahoma"
156590,"mcclain county, oklahoma"
156662,"mccurtain county, oklahoma"
156734,"mcintosh county, oklahoma"
156806,"major county, oklahoma"
156878,"marshall county, oklahoma"
156950,"mayes county, oklahoma"
157022,"murray county, oklahoma"
157094,"muskogee county, oklahoma"
157166,"noble county, oklahoma"
157238,"nowata county, oklahoma"
157310,"okfuskee county, oklahoma"
157454,"okmulgee county, oklahoma"
157526,"osage county, oklahoma"
157598,"ottawa county, oklahoma"
157670,"pawnee county, oklahoma"
157742,"payne county, oklahoma"
157814,"pittsburg county, oklahoma"
157886,"pontotoc county, oklahoma"
157958,"pottawatomie county, oklahoma"
158030,"pushmataha county, oklahoma"
158102,"roger mills county, oklahoma"
158174,"rogers county, oklahoma"
158246,"seminole county, oklahoma"
158318,"sequoyah county, oklahoma"
158390,"stephens county, oklahoma"
158462,"texas county, oklahoma"
158534,"tillman county, oklahoma"
158606,"tulsa county, oklahoma"
158678,"wagoner county, oklahoma"
158750,"washington county, oklahoma"
158822,"washita county, oklahoma"
158894,"woods county, oklahoma"
158966,"woodward county, oklahoma"
162854,"clinton county, pennsylvania"
163934,"jefferson county, pennsylvania"
164942,"montour county, pennsylvania"
165086,"northumberland county, pennsylvania"
165158,"perry county, pennsylvania"
165230,"philadelphia county, pennsylvania"
165806,"tioga county, pennsylvania"
166454,"bristol county, rhode island"
166526,"kent county, rhode island"
166598,"newport county, rhode island"
166670,"providence county, rhode island"
166742,"washington county, rhode island"
166814,"abbeville county, south carolina"
166886,"aiken county, south carolina"
166958,"allendale county, south carolina"
167030,"anderson county, south carolina"
167102,"bamberg county, south carolina"
167174,"barnwell county, south carolina"
167246,"beaufort county, south carolina"
167318,"berkeley county, south carolina"
167390,"calhoun county, south carolina"
167462,"charleston county, south carolina"
167534,"cherokee county, south carolina"
167606,"chester county, south carolina"
167678,"chesterfield county, south carolina"
167750,"clarendon county, south carolina"
167822,"colleton county, south carolina"
167894,"darlington county, south carolina"
167966,"dillon county, south carolina"
168038,"dorchester county, south carolina"
168110,"edgefield county, south carolina"
168182,"fairfield county, south carolina"
168254,"florence county, south carolina"
168326,"georgetown county, south carolina"
168398,"greenville county, south carolina"
168470,"greenwood county, south carolina"
168542,"hampton county, south carolina"
168614,"horry county, south carolina"
168686,"jasper county, south carolina"
168758,"kershaw county, south carolina"
168830,"lancaster county, south carolina"
168902,"laurens county, south carolina"
168974,"lee county, south carolina"
169046,"lexington county, south carolina"
169118,"mccormick county, south carolina"
169190,"marion county, south carolina"
169262,"marlboro county, south carolina"
169334,"newberry county, south carolina"
169406,"oconee county, south carolina"
169478,"orangeburg county, south carolina"
169550,"pickens county, south carolina"
169622,"richland county, south carolina"
169694,"saluda county, south carolina"
169766,"spartanburg county, south carolina"
169838,"sumter county, south carolina"
169910,"union county, south carolina"
169982,"williamsburg county, south carolina"
170054,"york county, south carolina"
170270,"bennett county, south dakota"
173078,"lyman county, south dakota"
173726,"oglala lakota county, south dakota"
174446,"tripp county, south dakota"
175022,"benton county, tennessee"
175094,"bledsoe county, tennessee"
175238,"bradley county, tennessee"
175310,"campbell county, tennessee"
175382,"cannon county, tennessee"
175454,"carroll county, tennessee"
175526,"carter county, tennessee"
175598,"cheatham county, tennessee"
175670,"chester county, tennessee"
175742,"claiborne county, tennessee"
175814,"clay county, tennessee"
175886,"cocke county, tennessee"
175958,"coffee county, tennessee"
176030,"crockett county, tennessee"
176102,"cumberland county, tennessee"
176246,"decatur county, tennessee"
176318,"dekalb county, tennessee"
176390,"dickson county, tennessee"
176462,"dyer county, tennessee"
176534,"fayette county, tennessee"
176606,"fentress county, tennessee"
176678,"franklin county, tennessee"
176750,"gibson county, tennessee"
176822,"giles county, tennessee"
176894,"grainger county, tennessee"
176966,"greene county, tennessee"
177038,"grundy county, tennessee"
177110,"hamblen county, tennessee"
177182,"hamilton county, tennessee"
177254,"hancock county, tennessee"
177326,"hardeman county, tennessee"
177398,"hardin county, tennessee"
177470,"hawkins county, tennessee"
177542,"haywood county, tennessee"
177614,"henderson county, tennessee"
177686,"henry county, tennessee"
177758,"hickman county, tennessee"
177830,"houston county, tennessee"
177902,"humphreys county, tennessee"
177974,"jackson county, tennessee"
178046,"jefferson county, tennessee"
178118,"johnson county, tennessee"
178190,"knox county, tennessee"
178262,"lake county, tennessee"
178334,"lauderdale county, tennessee"
178406,"lawrence county, tennessee"
178478,"lewis county, tennessee"
178550,"lincoln county, tennessee"
178622,"loudon county, tennessee"
178694,"mcminn county, tennessee"
178766,"mcnairy county, tennessee"
178838,"macon county, tennessee"
178910,"madison county, tennessee"
178982,"marion county, tennessee"
179054,"marshall county, tennessee"
179126,"maury county, tennessee"
179198,"meigs county, tennessee"
179270,"monroe county, tennessee"
179342,"montgomery county, tennessee"
179414,"moore county, tennessee"
179486,"morgan county, tennessee"
179558,"obion county, tennessee"
179630,"overton county, tennessee"
179702,"perry county, tennessee"
179774,"pickett county, tennessee"
179846,"polk county, tennessee"
179918,"putnam county, tennessee"
179990,"rhea county, tennessee"
180062,"roane county, tennessee"
180134,"robertson county, tennessee"
180206,"rutherford county, tennessee"
180278,"scott county, tennessee"
180350,"sequatchie county, tennessee"
180422,"sevier county, tennessee"
180566,"smith county, tennessee"
180638,"stewart county, tennessee"
180854,"tipton county, tennessee"
180926,"trousdale county, tennessee"
180998,"unicoi county, tennessee"
181070,"union county, tennessee"
181142,"van buren county, tennessee"
181214,"warren county, tennessee"
181286,"washington county, tennessee"
181358,"wayne county, tennessee"
181430,"weakley county, tennessee"
181502,"white county, tennessee"
181574,"williamson county, tennessee"
181646,"wilson county, tennessee"
182006,"archer county, texas"
183590,"burnet county, texas"
184382,"childress county, texas"
184814,"collingsworth county, texas"
185030,"comanche county, texas"
185318,"cottle county, texas"
185606,"culberson county, texas"
186110,"dewitt county, texas"
186182,"dickens county, texas"
186326,"donley county, texas"
186614,"edwards county, texas"
187190,"floyd county, texas"
187406,"franklin county, texas"
187550,"frio county, texas"
187622,"gaines county, texas"
